DRG Definition,Specialty,Common Name,Complications,DRG
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TEST,TEST,0,39
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,Neurology,Neurodegenerative Disorder,0,57
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,Neurology,Stroke,2,64
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,Neurology,Stroke,1,65
066 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC,Neurology,Stroke,0,66
069 - TRANSIENT ISCHEMIA,Neurology,Transient Ischemia,0,69
074 - CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC,Neurology,Peripheral Nerve Disorders,0,74
101 - SEIZURES W/O MCC,Neurology,Seizure,0,101
149 - DYSEQUILIBRIUM,Neurology,Dizziness & Vertigo,0,149
176 - PULMONARY EMBOLISM W/O MCC,Pulmonology,Pulmonary Embolism,0,174
177 - RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC,Pulmonology,Lung Infection/Inflammation,2,177
178 - RESPIRATORY INFECTIONS & INFLAMMATIONS W CC,Pulmonology,Lung Infection/Inflammation,1,178
189 - PULMONARY EDEMA & RESPIRATORY FAILURE,Pulmonology,Pulmonary Edema/Respiratory Failure,0,189
190 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC,Pulmonology,Chronic Obstructive Pulmonary Disease,2,190
191 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC,Pulmonology,Chronic Obstructive Pulmonary Disease,1,191
192 - CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC,Pulmonology,Chronic Obstructive Pulmonary Disease,0,192
193 - SIMPLE PNEUMONIA & PLEURISY W MCC,Pulmonology,Pneumonia,2,193
194 - SIMPLE PNEUMONIA & PLEURISY W CC,Pulmonology,Pneumonia,1,194
195 - SIMPLE PNEUMONIA & PLEURISY W/O CC/MCC,Pulmonology,Pneumonia,0,195
202 - BRONCHITIS & ASTHMA W CC/MCC,Pulmonology,Asthma/Bronchitis,2,202
203 - BRONCHITIS & ASTHMA W/O CC/MCC,Pulmonology,Asthma/Bronchitis,0,203
207 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT 96+ HOURS,Pulmonology,Lung Disease Requiring Ventilator Support,2,207
208 - RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS,Pulmonology,Lung Disease Requiring Ventilator Support,0,208
238 - MAJOR CARDIOVASC PROCEDURES W/O MCC,Cardiology,Cardiovascular Surgery & Procedure,0,238
243 - PERMANENT CARDIAC PACEMAKER IMPLANT W CC,Cardiology,Pacemaker Implantation,1,243
244 - PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC,Cardiology,Pacemaker Implantation,0,244
246 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS,Cardiology,Drug-Eluting Stent Placement,2,246
247 - PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC,Cardiology,Drug-Eluting Stent Placement,0,247
249 - PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC,Cardiology,Bare Metal Stent Placement,0,249
251 - PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC,Cardiology,Stent Placement,0,251
252 - OTHER VASCULAR PROCEDURES W MCC,Cardiology,TEST,2,252
253 - OTHER VASCULAR PROCEDURES W CC,Cardiology,TEST,1,253
254 - OTHER VASCULAR PROCEDURES W/O CC/MCC,Cardiology,TEST,0,254
"280 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC",Cardiology,Heart Attack,2,280
"281 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC",Cardiology,Heart Attack,1,281
"282 - ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC",Cardiology,Heart Attack,0,282
"286 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC",Cardiology,TEST,0,286
"287 - CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC",Cardiology,TEST,0,287
291 - HEART FAILURE & SHOCK W MCC,Cardiology,Heart Failure,2,291
292 - HEART FAILURE & SHOCK W CC,Cardiology,Heart Failure,1,292
293 - HEART FAILURE & SHOCK W/O CC/MCC,Cardiology,Heart Failure,0,293
300 - PERIPHERAL VASCULAR DISORDERS W CC,Cardiology,Peripheral Vascular Disorder,2,300
301 - PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,Cardiology,Peripheral Vascular Disorder,0,301
303 - ATHEROSCLEROSIS W/O MCC,Cardiology,Atherosclerosis,0,303
305 - HYPERTENSION W/O MCC,Cardiology,Hypertension,0,305
308 - CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC,Cardiology,Arrhythmia,2,308
