size_charge,size_pay,lat,lon,charge,pay,name
14.49,2.39,36.18082,-94.13644,105174.75,12536.01,NW ARKANSAS HOSPITALS, LLC
7.63,2.22,34.46784,-93.06667,52690.88,11286.32,ST JOSEPHS MERCY HEALTH CENTER INC
6.81,2.20,36.34295,-92.39442,46367.26,11126.77,BAXTER REGIONAL MEDICAL CENTER
6.11,2.17,35.08546,-92.45774,41050.65,10870.74,CONWAY REGIONAL MEDICAL CENTER
7.22,2.19,34.77770,-92.12539,49543.00,11042.26,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
6.49,2.43,36.05214,-90.49908,43962.39,12846.91,ARKANSAS METHODIST MEDICAL CENTER
8.47,2.21,35.37445,-94.41868,59105.21,11163.03,SPARKS REGIONAL MEDICAL CENTER
6.06,2.15,35.35395,-94.35262,40663.30,10719.06,ST EDWARD MERCY MEDICAL CENTER
8.26,2.41,34.18894,-92.01886,57531.43,12718.98,JEFFERSON REGIONAL MEDICAL CENTER
13.69,2.27,34.48600,-93.03521,99082.29,11642.71,NATIONAL PARK MEDICAL CENTER
8.44,2.27,34.57290,-92.58508,58847.62,11654.75,SALINE MEMORIAL HOSPITAL
9.25,2.36,33.22053,-92.67102,65076.10,12319.38,MEDICAL CENTER SOUTH ARKANSAS
6.85,2.25,34.74866,-92.35422,46728.03,11510.47,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
5.79,2.19,35.80838,-90.66658,38585.94,11064.10,NEA BAPTIST MEMORIAL HOSPITAL
6.34,2.44,35.76927,-91.63408,42812.84,12936.07,WHITE RIVER MEDICAL CENTER
5.90,2.09,34.73868,-92.39307,39442.22,10309.26,ARKANSAS HEART HOSPITAL
20.63,3.58,37.63362,-122.08802,152171.95,21706.37,ST ROSE HOSPITAL
10.12,2.98,40.78366,-124.14246,71713.64,17052.89,ST JOSEPH HOSPITAL
16.47,5.32,37.59283,-122.38249,120329.92,34975.67,PENINSULA MEDICAL CENTER
15.33,2.83,38.32472,-122.29671,111612.13,15921.20,QUEEN OF THE VALLEY MEDICAL CENTER
11.46,3.13,38.54384,-122.47401,82020.26,18256.12,ST HELENA HOSPITAL
13.18,2.96,38.57053,-121.45216,95169.83,16965.26,MERCY GENERAL HOSPITAL
13.85,3.05,33.97659,-117.38184,100308.94,17622.84,RIVERSIDE COMMUNITY HOSPITAL
7.30,3.37,32.75426,-117.16592,50187.38,20080.56,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER
16.85,2.78,32.77495,-117.01467,123231.85,15565.49,GROSSMONT HOSPITAL
12.26,2.72,35.38736,-119.01690,88103.64,15108.30,BAKERSFIELD MEMORIAL HOSPITAL
12.54,2.51,39.74221,-121.85000,90279.68,13501.46,ENLOE MEDICAL CENTER
14.11,3.50,37.82206,-122.26275,102263.58,21050.13,ALTA BATES SUMMIT MEDICAL CENTER
18.86,3.78,37.79100,-122.43125,138609.66,23201.24,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
12.73,2.92,34.67486,-118.15771,91749.97,16654.62,ANTELOPE VALLEY HOSPITAL MED CENTER
9.84,2.84,36.32737,-119.29548,69578.60,16017.45,KAWEAH DELTA MEDICAL CENTER
12.27,3.25,34.12834,-118.25777,88193.48,19137.31,GLENDALE MEM HOSPITAL & HLTH CENTER
9.59,3.24,36.73000,-119.78000,67691.51,19075.30,COMMUNITY REGIONAL MEDICAL CENTER
16.60,3.63,34.09643,-118.29103,121354.88,22063.00,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
14.18,2.60,33.78036,-117.86495,102782.42,14174.75,ST JOSEPH HOSPITAL
2.69,3.15,37.33569,-121.99595,14885.11,18353.14,KAISER FOUNDATION HOSPITAL-SANTA CLARA
4.33,2.97,37.78248,-122.44290,27397.39,17041.00,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO
13.62,3.08,32.75143,-117.16083,98549.42,17863.81,SCRIPPS MERCY HOSPITAL
10.72,2.75,34.21674,-119.15631,76357.30,15320.50,ST JOHNS REGIONAL MEDICAL CENTER
