size,lat,lon,price,name
3.56,34.46784,-93.06667,49551.43,ST JOSEPHS MERCY HEALTH CENTER INC
4.60,35.37445,-94.41868,69476.73,SPARKS REGIONAL MEDICAL CENTER
3.11,34.74866,-92.35422,41041.56,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
3.98,35.76927,-91.63408,57626.88,WHITE RIVER MEDICAL CENTER
4.67,34.73868,-92.39307,70687.54,ARKANSAS HEART HOSPITAL
4.77,40.78366,-124.14246,72723.27,ST JOSEPH HOSPITAL
8.26,38.32472,-122.29671,139307.31,QUEEN OF THE VALLEY MEDICAL CENTER
6.36,38.54384,-122.47401,103037.40,ST HELENA HOSPITAL
5.40,38.57053,-121.45216,84648.36,MERCY GENERAL HOSPITAL
5.22,37.31288,-121.93329,81299.38,SANTA CLARA VALLEY MEDICAL CENTER
7.94,37.79100,-122.43125,133344.46,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP
4.99,34.67486,-118.15771,76928.90,ANTELOPE VALLEY HOSPITAL MED CENTER
5.69,36.32737,-119.29548,90334.64,KAWEAH DELTA MEDICAL CENTER
6.37,34.12834,-118.25777,103179.04,GLENDALE MEM HOSPITAL & HLTH CENTER
5.58,33.78036,-117.86495,88116.91,ST JOSEPH HOSPITAL
7.00,37.96987,-121.28873,115326.44,ST JOSEPHS MED CENTER OF STOCKTON
5.32,36.83532,-119.76562,83273.78,SAINT AGNES MEDICAL CENTER
4.65,34.10130,-117.63651,70470.65,SAN ANTONIO COMMUNITY HOSPITAL
6.86,32.79949,-117.15394,112661.54,SHARP MEMORIAL HOSPITAL
7.63,34.04932,-118.21746,127328.87,WHITE MEMORIAL MEDICAL CENTER
7.61,34.95099,-120.41322,126918.18,MARIAN MEDICAL CENTER
5.16,38.57155,-121.46874,80125.10,SUTTER GENERAL HOSPITAL
10.50,37.36257,-121.84974,182281.74,REGIONAL MEDICAL CENTER OF SAN JOSE
5.06,39.13822,-121.59436,78291.83,RIDEOUT MEMORIAL HOSPITAL
8.76,37.32710,-121.93863,148852.83,O'CONNOR HOSPITAL
7.30,33.96860,-118.04831,121104.31,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
6.52,38.44369,-122.70138,106112.33,SANTA ROSA MEMORIAL HOSPITAL
11.20,37.55717,-121.98126,195480.71,WASHINGTON HOSPITAL
7.64,37.48000,-122.25441,127618.77,SEQUOIA HOSPITAL
8.26,32.61972,-117.02278,139343.80,SHARP CHULA VISTA MEDICAL CENTER
4.14,33.62229,-117.92995,60689.21,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
8.70,33.84780,-117.93661,147746.78,AHMC ANAHEIM REGIONAL MEDICAL CENTER
7.05,35.27882,-120.65047,116219.53,FRENCH HOSPITAL MEDICAL CENTER
7.62,34.15601,-118.32834,127143.50,PROVIDENCE SAINT JOSEPH MEDICAL CTR
5.97,33.83862,-116.54557,95598.94,DESERT REGIONAL MEDICAL CENTER
6.65,38.72562,-120.79096,108702.45,MARSHALL MEDICAL CENTER (1-RH)
5.76,34.06675,-118.44613,91600.25,RONALD REAGAN UCLA MEDICAL CENTER
5.12,40.58654,-122.39168,79353.95,MERCY MEDICAL CENTER REDDING
4.56,34.03009,-118.47833,68639.61,SAINT JOHN'S HEALTH CENTER
4.35,38.46964,-122.70746,64744.82,SUTTER MEDICAL CENTER OF SANTA ROSA
6.27,34.50107,-117.17285,101350.33,ST MARY MEDICAL CENTER
8.10,37.85593,-122.25730,136236.31,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP
6.52,37.36934,-122.08047,106165.12,EL CAMINO HOSPITAL
3.59,38.76514,-121.24979,50134.23,SUTTER ROSEVILLE MEDICAL CENTER
6.41,32.88461,-117.22244,104076.11,SCRIPPS MEMORIAL HOSPITAL LA JOLLA
10.66,38.12186,-121.28665,185158.73,LODI MEMORIAL HOSPITAL
7.00,37.94748,-122.53677,115283.68,MARIN GENERAL HOSPITAL
8.75,37.25153,-121.94684,148756.94,GOOD SAMARITAN HOSPITAL
6.47,32.89810,-117.24217,105157.82,SCRIPPS GREEN HOSPITAL
4.79,34.13364,-118.15275,73123.52,HUNTINGTON MEMORIAL HOSPITAL
9.75,37.43436,-122.18013,167842.85,STANFORD HOSPITAL
5.72,35.38338,-119.01969,90814.50,SAN JOAQUIN COMMUNITY HOSPITAL
9.19,37.66540,-120.99743,157207.00,DOCTORS MEDICAL CENTER
6.32,34.05336,-118.26558,102373.63,GOOD SAMARITAN HOSPITAL
7.27,34.20285,-118.62962,120523.92,WEST HILLS HOSPITAL & MEDICAL CENTER
6.70,34.20777,-118.88305,109654.17,LOS ROBLES HOSPITAL & MEDICAL CENTER
6.64,33.80441,-118.06665,108468.00,LOS ALAMITOS MEDICAL CENTER
6.08,33.71466,-117.93322,97728.32,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER
8.16,38.55484,-121.45628,137400.64,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER
4.13,33.60883,-117.70881,60435.58,SADDLEBACK MEMORIAL MEDICAL CENTER
11.24,34.07664,-118.37955,196377.95,CEDARS-SINAI MEDICAL CENTER
7.44,37.03560,-121.57109,123773.82,SAINT LOUISE REGIONAL HOSPITAL
5.16,34.47174,-117.29791,80232.81,DESERT VALLEY HOSPITAL
5.14,35.38506,-119.03992,79847.93,BAKERSFIELD HEART HOSPITAL
9.09,34.06760,-118.12291,155236.57,GARFIELD MEDICAL CENTER
10.14,33.95076,-118.34828,175274.33,CENTINELA HOSPITAL MEDICAL CENTER
7.22,34.05723,-118.36025,119500.91,OLYMPIA MEDICAL CENTER
6.36,34.17067,-118.53200,103065.65,PROVIDENCE TARZANA MEDICAL CENTER
6.80,40.58532,-122.38702,111560.27,SHASTA REGIONAL MEDICAL CENTER
3.86,40.18134,-105.12769,55342.69,LONGMONT UNITED HOSPITAL
6.67,38.28184,-104.61256,109008.00,PARKVIEW MEDICAL CENTER INC
6.58,40.02615,-105.28391,107220.22,BOULDER COMMUNITY HOSPITAL
6.46,38.86559,-104.82182,105032.75,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES
4.45,39.73231,-104.93396,66526.09,ROSE MEDICAL CENTER
4.47,39.65399,-104.98116,66930.48,SWEDISH MEDICAL CENTER
5.44,39.67005,-104.97490,85515.42,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL
2.87,41.77507,-72.69941,36299.65,ST FRANCIS HOSPITAL & MEDICAL CENTER
4.87,41.55959,-73.05941,74565.33,WATERBURY HOSPITAL
4.32,41.05562,-73.55390,64058.58,STAMFORD HOSPITAL
3.21,41.33722,-72.10380,42812.00,LAWRENCE & MEMORIAL HOSPITAL
2.10,41.79153,-73.13382,21693.53,CHARLOTTE HUNGERFORD HOSPITAL
2.92,41.55241,-73.03554,37330.93,SAINT MARYS HOSPITAL
