size_charge,size_pay,lat,lon,charge,pay,name,Air,BloodInf,UrinaryInf,Falls double,Mismatch,Objects,Sores,Sugar
3.28,2.40,35.83746,-90.70386,9431.18,6084.95,ST BERNARDS MEDICAL CTR,0.0,0.119,0.474,0.178,0.0,0.0,0.059,0.0
7.78,2.34,36.18082,-94.13644,26623.43,5857.71,NW ARKANSAS HOSPITALS, LLC,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0
7.32,2.34,34.46784,-93.06667,24855.59,5847.82,ST JOSEPHS MERCY HEALTH CENTER INC,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0
4.84,2.24,36.34295,-92.39442,15409.22,5457.00,BAXTER REGIONAL MEDICAL CENTER,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0
4.88,2.27,35.08546,-92.45774,15543.72,5587.67,CONWAY REGIONAL MEDICAL CENTER,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0
5.12,2.26,34.77770,-92.12539,16447.99,5527.73,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089
5.78,2.37,35.28275,-93.14901,18975.71,5960.04,ST MARYS REGIONAL MEDICAL CENTER,0.0,0.429,1.287,0.0,0.0,0.0,0.0,0.215
6.08,2.73,35.14320,-90.18837,20142.57,7316.78,CRITTENDEN MEMORIAL HOSPITAL,0.0,0.303,0.303,0.0,0.0,0.0,0.0,0.0
3.76,2.30,35.37445,-94.41868,11257.13,5694.24,SPARKS REGIONAL MEDICAL CENTER,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069
7.09,2.25,35.35395,-94.35262,23975.60,5513.11,ST EDWARD MERCY MEDICAL CENTER,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0
7.31,2.49,34.18894,-92.01886,24836.23,6402.46,JEFFERSON REGIONAL MEDICAL CENTER,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0
3.43,2.44,34.51764,-91.55932,9992.96,6236.12,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,0.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0
4.10,2.17,34.87240,-92.12256,12584.41,5180.88,NORTH METRO MEDICAL CENTER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653
13.94,2.43,34.48600,-93.03521,50176.50,6196.45,NATIONAL PARK MEDICAL CENTER,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0
8.73,2.26,35.60836,-91.26499,30257.16,5528.84,HARRIS HOSPITAL,0.0,0.444,1.333,0.0,0.0,0.0,0.0,0.0
3.85,2.26,34.57290,-92.58508,11618.54,5521.75,SALINE MEMORIAL HOSPITAL,0.0,0.442,0.221,0.0,0.0,0.0,0.0,0.0
12.27,2.58,33.22053,-92.67102,43788.65,6757.15,MEDICAL CENTER SOUTH ARKANSAS,0.0,0.379,0.947,0.0,0.0,0.189,0.0,0.0
4.34,2.37,33.64905,-93.58704,13498.67,5940.00,MEDICAL PARK HOSPITAL,0.0,0.0,0.569,0.0,0.0,0.0,0.0,0.0
6.32,2.36,34.74866,-92.35422,21056.16,5907.13,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,0.0,0.656,0.656,0.231,0.0,0.039,0.347,0.077
5.09,2.42,35.80838,-90.66658,16363.72,6141.00,NEA BAPTIST MEMORIAL HOSPITAL,0.0,0.134,0.939,0.402,0.0,0.0,0.134,0.134
4.62,2.41,35.76927,-91.63408,14560.80,6114.56,WHITE RIVER MEDICAL CENTER,0.0,0.87,0.497,0.249,0.0,0.0,0.373,0.0
4.08,2.18,34.73868,-92.39307,12471.21,5244.36,ARKANSAS HEART HOSPITAL,0.0,0.101,0.101,0.101,0.0,0.0,0.0,0.0
4.87,2.23,34.81290,-92.20814,15524.25,5417.88,ST VINCENT MEDICAL CENTER/NORTH,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0
20.31,3.74,37.63362,-122.08802,74500.09,11206.56,ST ROSE HOSPITAL,0.0,1.826,0.609,0.812,0.0,0.0,0.203,0.0
10.38,2.99,40.78366,-124.14246,36572.02,8331.60,ST JOSEPH HOSPITAL,0.0,0.179,0.716,0.0,0.0,0.179,0.179,0.0
12.46,2.84,37.59283,-122.38249,44505.05,7763.27,PENINSULA MEDICAL CENTER,0.0,0.495,0.619,1.114,0.0,0.0,0.0,0.0
14.27,3.03,38.32472,-122.29671,51421.93,8472.86,QUEEN OF THE VALLEY MEDICAL CENTER,0.0,0.306,1.073,0.613,0.0,0.0,0.0,0.0
9.51,3.27,38.54384,-122.47401,33245.29,9400.34,ST HELENA HOSPITAL,0.0,0.206,0.618,1.648,0.0,0.0,0.0,0.0
5.83,2.87,38.35073,-120.76468,19193.18,7873.91,SUTTER AMADOR HOSPITAL,0.0,0.486,0.0,0.0,0.0,0.0,0.0,0.0
