size_charge,size_pay,lat,lon,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
6.44,2.30,36.18082,-94.13644,18458.68,4183.69,0.50,0.69,0.30,NW ARKANSAS HOSPITALS LLC
4.82,2.26,34.46784,-93.06667,12860.95,4034.77,0.67,0.66,0.86,ST JOSEPHS MERCY HEALTH CENTER INC
3.44,2.19,36.34295,-92.39442,8109.22,3795.49,0.50,0.65,0.58,BAXTER REGIONAL MEDICAL CENTER
4.20,2.25,35.08546,-92.45774,10709.33,3985.98,0.50,0.72,0.80,CONWAY REGIONAL MEDICAL CENTER
4.01,2.24,34.77770,-92.12539,10077.38,3961.56,0.50,0.60,0.14,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
4.17,2.29,36.05214,-90.49908,10626.00,4141.13,0.00,0.00,0.00,ARKANSAS METHODIST MEDICAL CENTER
5.49,2.35,35.28275,-93.14901,15170.16,4334.34,0.00,0.00,0.00,ST MARYS REGIONAL MEDICAL CENTER
6.10,2.58,35.14320,-90.18837,17262.97,5149.92,0.00,0.00,0.00,CRITTENDEN MEMORIAL HOSPITAL
3.48,2.38,36.28982,-90.99750,8251.00,4434.11,0.00,0.00,0.00,FIVE RIVERS MEDICAL CENTER
4.11,2.29,33.57575,-92.83683,10422.36,4132.64,0.00,0.00,0.00,OUACHITA COUNTY MEDICAL CENTER
2.74,2.25,33.62900,-91.79096,5678.78,3992.20,0.00,0.00,0.00,DREW MEMORIAL HOSPITAL
4.25,2.29,35.37445,-94.41868,10904.14,4121.03,0.50,0.54,0.86,SPARKS REGIONAL MEDICAL CENTER
5.03,2.22,35.35395,-94.35262,13590.09,3884.71,0.50,0.66,0.11,ST EDWARD MERCY MEDICAL CENTER
3.73,2.34,33.27510,-93.24001,9086.11,4313.00,0.00,0.00,0.00,MAGNOLIA HOSPITAL
5.20,2.70,35.94320,-89.91713,14164.35,5554.22,0.00,0.00,0.00,GREAT RIVER MEDICAL CENTER
5.83,2.44,34.18894,-92.01886,16343.90,4664.43,0.50,0.75,0.05,JEFFERSON REGIONAL MEDICAL CENTER
3.53,2.38,34.51764,-91.55932,8419.68,4451.16,0.00,0.00,0.00,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
4.36,2.21,34.87240,-92.12256,11274.25,3840.67,0.00,0.00,0.00,NORTH METRO MEDICAL CENTER
5.03,2.44,34.35877,-92.78638,13567.68,4662.00,0.00,0.00,0.00,HOT SPRING COUNTY MEDICAL CENTER
9.23,2.37,34.48600,-93.03521,28056.54,4398.92,0.50,0.51,0.08,NATIONAL PARK MEDICAL CENTER
9.34,2.28,35.60836,-91.26499,28444.29,4113.00,0.00,0.00,0.00,HARRIS HOSPITAL
3.90,2.22,34.57290,-92.58508,9673.45,3905.43,0.50,0.89,0.72,SALINE MEMORIAL HOSPITAL
7.23,2.59,34.51022,-90.62718,21183.49,5182.72,0.00,0.00,0.00,HELENA REGIONAL MEDICAL CENTER
6.78,2.39,33.22053,-92.67102,19633.91,4466.55,0.50,0.70,0.14,MEDICAL CENTER SOUTH ARKANSAS
4.82,2.34,34.74866,-92.35422,12870.30,4321.66,0.50,0.44,0.21,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK
4.89,2.35,35.80838,-90.66658,13095.17,4332.30,0.50,0.57,0.70,NEA BAPTIST MEMORIAL HOSPITAL
5.91,2.42,35.76927,-91.63408,16613.86,4575.80,0.33,0.64,0.38,WHITE RIVER MEDICAL CENTER
4.69,2.25,34.81290,-92.20814,12416.06,3995.61,0.00,0.00,0.00,ST VINCENT MEDICAL CENTER/NORTH
14.45,3.40,37.63362,-122.08802,46079.07,7951.17,0.50,0.60,0.07,ST ROSE HOSPITAL
9.78,2.76,40.78366,-124.14246,29973.00,5756.06,0.50,0.64,0.64,ST JOSEPH HOSPITAL
12.19,3.70,37.59283,-122.38249,38275.00,8986.67,0.50,0.71,0.33,PENINSULA MEDICAL CENTER
13.88,2.81,38.32472,-122.29671,44091.86,5930.43,0.50,0.72,0.83,QUEEN OF THE VALLEY MEDICAL CENTER
10.74,2.97,38.54384,-122.47401,33277.58,6493.92,0.50,0.75,0.33,ST HELENA HOSPITAL
13.49,3.56,38.57053,-121.45216,42757.90,8523.14,0.83,0.54,0.28,MERCY GENERAL HOSPITAL
5.85,3.50,34.06505,-118.23913,16403.22,8294.06,0.00,0.00,0.00,PACIFIC ALLIANCE MEDICAL CENTER
13.60,2.87,33.97659,-117.38184,43137.68,6124.87,0.50,0.65,0.58,RIVERSIDE COMMUNITY HOSPITAL
5.73,2.97,32.68425,-117.08161,15987.08,6485.50,0.00,0.00,0.00,PARADISE VALLEY HOSPITAL
9.75,2.63,32.77495,-117.01467,29864.54,5302.48,0.83,0.71,0.33,GROSSMONT HOSPITAL
6.21,2.56,40.89631,-124.09145,17649.68,5054.00,0.00,0.00,0.00,MAD RIVER COMMUNITY HOSPITAL
8.95,2.69,39.50528,-121.54100,27100.94,5520.10,0.50,0.74,0.64,OROVILLE HOSPITAL
11.08,2.80,35.38736,-119.01690,34442.25,5888.55,0.33,0.85,0.80,BAKERSFIELD MEMORIAL HOSPITAL
14.86,4.20,37.31288,-121.93329,47495.50,10721.31,0.67,0.65,0.02,SANTA CLARA VALLEY MEDICAL CENTER
8.93,2.51,39.74221,-121.85000,27037.69,4899.82,0.83,0.71,0.48,ENLOE MEDICAL CENTER
9.00,2.68,40.14813,-122.21934,27275.65,5489.77,0.00,0.00,0.00,ST ELIZABETH COMMUNITY HOSPITAL
13.78,3.51,37.82206,-122.26275,43770.65,8332.76,0.50,0.64,0.32,ALTA BATES SUMMIT MEDICAL CENTER
9.15,2.86,32.78037,-115.56848,27772.71,6091.68,0.50,0.97,0.70,EL CENTRO REGIONAL MEDICAL CENTER
7.83,2.65,33.93183,-116.94587,23235.93,5365.47,0.00,0.00,0.00,SAN GORGONIO MEMORIAL HOSPITAL
6.24,2.96,34.67486,-118.15771,17760.09,6448.55,0.50,0.68,0.45,ANTELOPE VALLEY HOSPITAL MED CENTER
8.69,2.71,36.32737,-119.29548,26214.42,5571.00,0.50,0.56,0.12,KAWEAH DELTA MEDICAL CENTER
11.33,3.12,34.12834,-118.25777,35315.00,7009.45,0.50,0.72,0.45,GLENDALE MEM HOSPITAL & HLTH CENTER
8.11,3.10,36.73000,-119.78000,24187.33,6942.18,0.50,0.71,0.00,COMMUNITY REGIONAL MEDICAL CENTER
9.95,3.40,34.09643,-118.29103,30547.47,7972.82,0.75,0.76,0.74,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER
10.53,2.58,37.75708,-120.86109,32552.35,5139.00,0.00,0.00,0.00,OAK VALLEY DISTRICT HOSPITAL
12.55,2.59,33.78036,-117.86495,39524.05,5165.63,0.50,0.60,0.89,ST JOSEPH HOSPITAL
9.80,2.96,32.75143,-117.16083,30017.88,6433.24,0.33,0.62,0.70,SCRIPPS MERCY HOSPITAL
11.89,3.06,37.95337,-122.33672,37226.60,6777.63,0.50,0.64,0.19,DOCTORS MEDICAL CENTER-SAN PABLO
10.49,2.77,34.21674,-119.15631,32401.50,5779.84,0.50,0.64,0.07,ST JOHNS REGIONAL MEDICAL CENTER
11.47,2.85,37.96987,-121.28873,35793.77,6056.49,0.83,0.69,0.97,ST JOSEPHS MED CENTER OF STOCKTON
10.82,3.15,34.13101,-117.32181,33548.85,7109.44,0.50,0.84,0.47,COMMUNITY HOSPITAL OF SAN BERNARDINO
10.45,3.12,33.98932,-118.22426,32259.86,6983.59,0.00,0.00,0.00,COMMUNITY AND MISSION  HOSPITAL OF HUNTINGTON PARK
7.16,2.63,36.83532,-119.76562,20916.87,5294.26,0.50,0.66,0.58,SAINT AGNES MEDICAL CENTER
10.40,2.80,32.79949,-117.15394,32095.33,5893.81,0.67,0.62,0.11,SHARP MEMORIAL HOSPITAL
9.02,2.86,33.92798,-117.43847,27356.94,6092.00,0.50,0.89,0.25,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER
10.91,3.39,33.92963,-118.20332,33873.69,7930.54,0.67,0.79,0.33,SAINT FRANCIS MEDICAL CENTER
8.58,2.73,34.95099,-120.41322,25816.50,5651.25,0.50,0.94,0.48,MARIAN MEDICAL CENTER
10.17,2.93,38.57155,-121.46874,31305.05,6352.95,0.83,0.78,0.80,SUTTER GENERAL HOSPITAL
4.19,2.72,34.64075,-120.43958,10701.83,5615.00,0.00,0.00,0.00,LOMPOC VALLEY MEDICAL CENTER
9.20,3.01,34.07558,-118.28424,27953.68,6604.98,0.00,0.00,0.00,TEMPLE COMMUNITY HOSPITAL
7.77,2.71,34.02685,-118.48651,23042.92,5568.67,0.50,0.76,0.21,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL
9.40,2.63,33.12535,-117.07336,28647.54,5322.15,0.50,0.55,0.70,PALOMAR MEDICAL CENTER
11.87,2.78,34.22014,-118.53410,37157.11,5822.52,0.33,0.56,0.45,NORTHRIDGE HOSPITAL MEDICAL CENTER
18.71,2.52,37.80132,-121.19690,60773.05,4942.16,0.00,0.00,0.00,DOCTORS HOSPITAL OF MANTECA
7.52,2.72,36.32362,-119.66726,22181.28,5624.36,0.50,0.89,0.25,ADVENTIST MEDICAL CENTER
17.03,2.93,37.96125,-121.30103,54949.32,6354.89,0.50,0.49,0.10,DAMERON HOSPITAL
6.91,2.51,34.20495,-118.21589,20081.33,4883.42,0.00,0.00,0.00,VERDUGO HILLS HOSPITAL
24.67,3.51,37.36257,-121.84974,81308.12,8329.92,0.50,0.70,0.02,REGIONAL MEDICAL CENTER OF SAN JOSE
9.86,3.02,34.19494,-118.46319,30254.06,6645.70,0.50,0.78,0.76,VALLEY PRESBYTERIAN HOSPITAL
7.67,2.71,33.18402,-117.29661,22683.35,5597.08,0.50,0.57,0.21,TRI-CITY MEDICAL CENTER
9.39,2.82,34.13495,-117.27603,28634.39,5965.11,0.50,0.66,0.48,ST BERNARDINE MEDICAL CENTER
12.85,2.98,34.10081,-118.10588,40550.55,6527.36,0.00,0.00,0.00,SAN GABRIEL VALLEY MEDICAL CENTER
9.74,2.79,39.13822,-121.59436,29829.59,5850.16,0.50,0.51,0.21,RIDEOUT MEMORIAL HOSPITAL
6.17,3.20,34.09638,-118.32518,17528.39,7255.39,0.00,0.00,0.00,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD
15.48,2.82,38.25455,-122.63177,49604.53,5954.60,0.00,0.00,0.00,PETALUMA VALLEY HOSPITAL
13.05,2.89,36.57886,-121.91316,41239.27,6210.19,0.67,0.56,0.58,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA
7.52,3.35,34.03705,-118.26575,22157.20,7801.96,0.33,0.88,0.89,CALIFORNIA HOSPITAL MEDICAL CENTER LA
7.93,2.57,39.22809,-121.04721,23569.60,5096.38,0.00,0.00,0.00,SIERRA NEVADA MEMORIAL HOSPITAL
14.95,3.26,37.78963,-122.41700,47798.42,7475.12,0.75,0.70,0.30,SAINT FRANCIS MEMORIAL HOSPITAL
15.09,3.20,37.32710,-121.93863,48279.07,7255.00,0.67,0.71,0.38,O'CONNOR HOSPITAL
12.85,2.45,33.89465,-117.92716,40534.89,4687.00,0.67,0.71,0.91,ST JUDE MEDICAL CENTER
14.61,2.62,33.96860,-118.04831,46632.27,5267.64,0.50,0.46,0.16,PRESBYTERIAN INTERCOMMUNITY HOSPITAL
10.93,2.91,38.44369,-122.70138,33937.90,6258.00,0.67,0.86,0.58,SANTA ROSA MEMORIAL HOSPITAL
14.75,2.66,37.51164,-120.83800,47088.51,5408.49,0.33,0.86,0.16,EMANUEL MEDICAL CENTER INC
17.43,2.70,37.91341,-122.04163,56358.89,5538.61,0.50,0.62,0.33,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS
10.29,3.17,33.77991,-118.18602,31722.78,7181.72,0.50,0.82,0.94,ST MARY MEDICAL CENTER
15.50,3.43,36.92821,-121.79360,49672.33,8073.88,0.00,0.00,0.00,WATSONVILLE COMMUNITY HOSPITAL
18.14,3.15,37.55717,-121.98126,58793.56,7089.81,0.50,0.54,0.89,WASHINGTON HOSPITAL
10.34,2.61,34.58305,-118.14490,31898.07,5230.33,0.50,0.86,0.54,PALMDALE REGIONAL MEDICAL CENTER
7.82,2.83,37.76288,-122.25412,23213.92,6007.42,0.00,0.00,0.00,ALAMEDA HOSPITAL
