size_charge,size_pay,lat,lon,state,charge,pay,AcquiredInfect,AcquiredConditions,PatientSafetySummary,name
7.39,2.24,31.21673,-85.36307,AL,21000,4000,50,51,21,Southeast Alabama Medical Center
4.50,2.32,34.22148,-86.15966,AL,12000,5000,50,91,54,Marshall Medical Center South
5.85,2.19,34.80175,-87.67514,AL,16000,4000,50,65,2,Eliza Coffee Memorial Hospital
3.77,2.13,31.28905,-86.25550,AL,9000,4000,0,0,0,Mizell Memorial Hospital
4.69,2.64,31.69450,-86.26542,AL,12000,6000,0,0,0,Crenshaw Community Hospital
8.16,2.23,34.44343,-86.93528,AL,23000,4000,0,0,0,Hartselle Medical Center
3.21,2.13,34.36605,-86.42127,AL,7000,4000,0,0,0,Marshall Medical Center North
6.19,2.23,33.59616,-86.66750,AL,17000,4000,66,78,1,St Vincent'S East
6.03,2.10,34.43845,-85.75574,AL,16000,4000,0,0,0,Dekalb Regional Medical Center
2.59,2.26,31.94621,-87.73849,AL,5000,4000,0,0,0,Southwest Alabama Medical Center
8.09,2.21,33.25607,-86.81035,AL,23000,4000,83,70,63,Shelby Baptist Medical Center
4.25,2.23,34.74649,-87.69895,AL,11000,4000,50,91,33,Helen Keller Memorial Hospital
3.56,2.31,31.45215,-85.63140,AL,9000,5000,0,0,0,Dale Medical Center
4.95,2.55,34.15204,-85.67885,AL,13000,5000,0,0,0,Cherokee Medical Center
7.38,2.53,32.32785,-86.27750,AL,21000,5000,50,67,54,Baptist Medical Center South
6.10,2.36,32.36656,-86.28572,AL,17000,5000,50,68,82,Jackson Hospital & Clinic Inc
3.27,2.33,32.82377,-85.17019,AL,8000,5000,0,0,0,George H. Lanier Memorial Hospital
2.59,2.40,31.42926,-86.07637,AL,5000,5000,0,0,0,Elba General Hospital
3.54,2.25,32.63806,-85.40413,AL,8000,4000,50,80,13,East Alabama Medical Center And Snf
6.25,2.79,33.50619,-86.80210,AL,17000,6000,66,45,11,University Of Alabama Hospital
2.99,2.34,32.53405,-85.91236,AL,7000,5000,0,0,0,Community Hospital Inc
5.38,2.17,34.20768,-86.87489,AL,14000,4000,50,63,79,Cullman Regional Medical Center
4.27,2.18,31.31122,-86.46762,AL,11000,4000,0,0,0,Andalusia Regional Hospital
8.21,2.13,33.66767,-85.83420,AL,23000,4000,0,0,0,Stringfellow Memorial Hospital
7.02,2.35,34.72007,-86.58108,AL,19000,5000,50,65,44,Huntsville Hospital
15.87,2.19,34.00941,-85.97078,AL,47000,4000,66,67,27,Gadsden Regional Medical Center
