size_charge,size_pay,lat,lon,charge,pay,Air,BloodInf,UrinaryInf,Falls,Mismatch,Objects,Sores,Sugar,name
3.26,2.36,35.83746,-90.70386,11146.81,6899.76,0.0,0.119,0.474,0.178,0.0,0.0,0.059,0.0,ST BERNARDS MEDICAL CTR
9.36,2.29,36.18082,-94.13644,39905.94,6565.00,0.0,0.327,0.245,0.818,0.0,0.0,0.164,0.0,NW ARKANSAS HOSPITALS LLC
5.90,2.26,34.46784,-93.06667,23601.05,6445.90,0.0,0.343,0.942,0.171,0.0,0.0,0.171,0.0,ST JOSEPHS MERCY HEALTH CENTER INC
3.34,2.14,36.34295,-92.39442,11530.62,5889.51,0.0,0.0,0.484,0.194,0.0,0.097,0.194,0.0,BAXTER REGIONAL MEDICAL CENTER
4.22,2.22,35.08546,-92.45774,15687.90,6247.78,0.0,0.62,1.24,0.155,0.0,0.0,0.0,0.0,CONWAY REGIONAL MEDICAL CENTER
4.36,2.18,34.77770,-92.12539,16357.32,6041.38,0.0,0.625,0.803,0.0,0.0,0.0,0.357,0.089,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK
3.91,2.25,36.05214,-90.49908,14212.93,6381.67,0.0,0.0,0.51,0.255,0.0,0.0,0.0,0.0,ARKANSAS METHODIST MEDICAL CENTER
5.75,2.32,35.28275,-93.14901,22898.77,6701.87,0.0,0.429,1.287,0.0,0.0,0.0,0.0,0.215,ST MARYS REGIONAL MEDICAL CENTER
5.76,2.66,35.14320,-90.18837,22913.62,8314.23,0.0,0.303,0.303,0.0,0.0,0.0,0.0,0.0,CRITTENDEN MEMORIAL HOSPITAL
4.10,2.26,33.57575,-92.83683,15106.91,6449.34,0.0,0.0,1.123,0.0,0.0,0.0,0.0,0.0,OUACHITA COUNTY MEDICAL CENTER
4.29,2.24,35.37445,-94.41868,16025.84,6346.84,0.0,0.277,1.248,0.486,0.0,0.0,0.139,0.069,SPARKS REGIONAL MEDICAL CENTER
6.40,2.33,35.35395,-94.35262,25953.20,6785.98,0.0,0.604,0.302,0.906,0.0,0.0,0.101,0.0,ST EDWARD MERCY MEDICAL CENTER
3.18,2.32,33.27510,-93.24001,10771.78,6725.75,0.0,0.563,0.0,0.0,0.0,0.0,0.0,0.0,MAGNOLIA HOSPITAL
6.87,2.39,34.18894,-92.01886,28151.93,7045.51,0.0,0.453,0.567,0.0,0.0,0.0,0.113,0.0,JEFFERSON REGIONAL MEDICAL CENTER
3.21,2.44,34.51764,-91.55932,10927.79,7263.12,0.0,0.0,0.537,0.0,0.0,0.0,0.0,0.0,BAPTIST HEALTH MEDICAL CENTER-STUTTGART
3.14,2.16,34.87240,-92.12256,10567.80,5968.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,NORTH METRO MEDICAL CENTER
3.27,2.25,34.35877,-92.78638,11196.62,6402.23,0.0,0.0,1.401,0.0,0.0,0.0,0.0,0.0,HOT SPRING COUNTY MEDICAL CENTER
11.77,2.36,34.48600,-93.03521,51282.00,6892.07,0.0,0.423,0.846,0.423,0.212,0.0,0.212,0.0,NATIONAL PARK MEDICAL CENTER
9.33,2.27,35.60836,-91.26499,39789.38,6464.69,0.0,0.444,1.333,0.0,0.0,0.0,0.0,0.0,HARRIS HOSPITAL
